종목코드,종목명,종가,대비,등락률,상장시가총액
"353200","대덕전자","109400","-100","-0.09","5406212.0"
"036570","NC","232500","4500","1.97","5008985.0"
"062040","산일전기","166400","-4400","-2.58","5094477.0"
"128940","한미약품","390500","-1500","-0.38","5002692.0"
"004170","신세계","517000","13000","2.58","4883159.0"
"034220","LG디스플레이","9660","-140","-1.43","4830000.0"
"028300","HLB","31450","150","0.48","4189084.0"
"000990","DB하이텍","98700","-1300","-1.30","4293903.0"
"319660","피에스케이","146000","2100","1.46","4229140.0"
"009830","한화솔루션","26200","-3800","-12.67","4503584.0"
"298380","에이비엘바이오","72600","200","0.28","4064690.0"
"454910","두산로보틱스","66200","1500","2.32","4291083.0"
"141080","리가켐바이오","97600","1500","1.56","3613095.0"
"214450","파마리서치","370000","13000","3.64","3844170.0"
"001040","CJ","133900","1700","1.29","3906800.0"
"002380","KCC","417000","-4500","-1.07","3583238.0"
"004020","현대제철","27750","0","0.00","3703121.0"
"010060","OCI홀딩스","206000","-44000","-17.60","3846068.0"
"011790","SKC","81500","-300","-0.37","4042261.0"
"018880","한온시스템","3595","60","1.70","3689414.0"
"039030","이오테크닉스","309000","10500","3.52","3806741.0"
"111770","영원무역","86800","-900","-1.03","3846235.0"
"088350","한화생명","4555","-35","-0.76","3956154.0"
"082740","한화엔진","47500","-1550","-3.16","3963739.0"
"023530","롯데쇼핑","129200","3300","2.62","3654907.0"
"051900","LG생활건강","256000","7500","3.02","3833734.0"
"052690","한전기술","97100","-2000","-2.02","3711162.0"
"000250","삼천당제약","149400","600","0.40","3504546.0"
"087010","펩트론","128900","15600","13.77","3005606.0"
"145020","휴젤","243000","8500","3.62","2989880.0"
"214370","케어젠","59700","3000","5.29","3206786.0"
"222800","심텍","92300","3800","4.29","3457921.0"
"403870","HPSP","37500","1850","5.19","3086250.0"
"001450","현대해상","39750","-600","-1.49","3388618.0"
"011780","금호석유화학","121500","-2900","-2.33","3056615.0"
"022100","포스코DX","19540","330","1.72","2970759.0"
"031210","서울보증보험","42950","150","0.35","2998838.0"
"035250","강원랜드","14490","30","0.21","3099998.0"
"036460","한국가스공사","35100","150","0.43","3240186.0"
"066970","엘앤에프","81500","-400","-0.49","3315686.0"
"103590","일진전기","62500","-1200","-1.88","2980337.0"
"251270","넷마블","37350","450","1.22","3060256.0"
"383220","F&F","77800","1700","2.23","2980290.0"
"483650","달바글로벌","259500","19000","7.90","3242171.0"
"080220","제주반도체","74000","3700","5.26","2548770.0"
"450080","에코프로머티","34900","500","1.45","2471404.0"
"095340","ISC","137000","2400","1.78","2903997.0"
"095610","테스","142100","6000","4.41","2751056.0"
